latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
53.853,-108.35101,75,854,0.0,0.0,0
53.69685,-122.36716,548,1917,356.5,48.35,1
50.77525,-100.56927,1248,2031,0.0,0.0,0
57.81359,-116.74483,105,1923,367.0,11.73,1
55.11017,-114.74822,105,1737,0.0,0.0,0
53.90734,-69.54864,835,1750,0.0,0.0,0
53.16223,-121.32178,0,721,0.0,0.0,0
50.51632,-104.63271,167,830,304.33,0.88,1
56.56189,-120.63377,1658,2043,0.0,0.0,0
50.11464,-125.67989,0,2030,331.42,4.77,1
47.08727,-78.27507,30,1744,0.0,0.0,0
49.89489,-96.62184,548,927,0.0,0.0,0
42.74937,-79.46696,1675,715,0.0,0.0,0
49.0875,-74.12758,1170,1631,0.0,0.0,0
46.40096,-64.05993,197,1712,0.0,0.0,0
51.38723,-96.95531,61,1945,341.32,14.7,1
49.54064,-125.71511,2040,2124,0.0,0.0,0
52.25627,-102.36501,562,1813,0.0,0.0,0
51.69942,-108.28049,379,1843,0.0,0.0,0
50.15902,-108.88106,91,1035,0.0,0.0,0
45.66346,-65.39867,228,605,0.0,0.0,0
54.15828,-108.28468,1597,1947,336.74,4.99,1
49.73499,-101.21033,518,849,297.39,0.22,1
46.35335,-70.93531,395,1659,0.0,0.0,0
50.63057,-104.07234,1505,2011,0.0,0.0,0
50.02459,-98.17392,1536,1848,346.46,74.49,1
52.64075,-85.01022,1278,758,0.0,0.0,0
49.15887,-123.007,821,1049,298.51,0.56,1
50.2123,-104.47749,197,908,0.0,0.0,0
56.8253,-120.24694,379,2025,0.0,0.0,0
44.52662,-81.17924,1248,1848,326.03,1.61,1
54.9721,-118.41833,1689,1111,323.99,1.23,1
53.11612,-124.47435,1614,2109,328.06,4.05,1
75.24796,-84.0089,579,1753,0.0,0.0,0
59.87239,-120.90909,1901,958,0.0,0.0,0
53.14128,-117.56711,897,1024,0.0,0.0,0
54.89884,-119.86988,1475,1125,0.0,0.0,0
58.58554,-116.97129,791,1008,336.35,2.0,1
48.05624,-75.26297,1156,1733,330.71,2.31,1
57.4319,-121.38469,105,931,0.0,0.0,0
55.81502,-97.37287,1597,1947,0.0,0.0,0
60.28899,-95.48471,2054,1841,0.0,0.0,0
45.87533,-72.62196,579,625,0.0,0.0,0
50.19699,-106.33461,1475,1934,339.04,3.22,1
50.51525,-104.62891,1217,1832,334.59,6.06,1
62.51695,-92.84153,1644,1015,0.0,0.0,0
51.11681,-119.55976,379,2204,0.0,0.0,0
61.46193,-107.97758,91,851,319.1,2.91,1
54.22205,-116.47655,883,1125,317.26,1.35,1
75.22766,-99.69178,1505,1827,0.0,0.0,0
55.9966,-113.57398,44,834,0.0,0.0,0
58.94312,-133.92438,409,1737,0.0,0.0,0
53.00774,-109.05262,958,939,0.0,0.0,0
52.99027,-108.23461,214,2018,0.0,0.0,0
59.63864,-118.2274,1156,926,0.0,0.0,0
43.5453,-80.22142,2040,1800,0.0,0.0,0
64.78823,-136.0239,75,2028,0.0,0.0,0
55.91673,-120.38449,1870,939,296.42,0.44,1
56.0959,-120.56556,1658,2043,329.27,3.89,1
80.55976,-77.36615,214,2018,0.0,0.0,0
58.38311,-99.94016,487,1820,0.0,0.0,0
46.11987,-73.84518,91,1840,0.0,0.0,0
45.24892,-66.5547,944,541,0.0,0.0,0
68.30712,-138.81281,1278,941,0.0,0.0,0
51.03001,-102.81178,456,1939,0.0,0.0,0
45.56878,-65.90113,122,552,0.0,0.0,0
61.50635,-137.04652,1993,1114,295.04,1.03,1
56.94803,-110.85086,1292,835,0.0,0.0,0
46.08814,-65.12749,105,611,0.0,0.0,0
55.43008,-102.20729,866,1003,0.0,0.0,0
45.11149,-73.00817,883,625,298.74,1.78,1
52.33383,-112.67789,183,1959,332.26,3.71,1
55.19276,-120.31495,1856,2214,0.0,0.0,0
54.37922,-107.93269,379,2023,0.0,0.0,0
49.09782,-123.01579,105,2101,326.48,3.14,1
50.49539,-97.24458,1156,928,0.0,0.0,0
61.50686,-139.21646,409,1737,0.0,0.0,0
57.00012,-109.83738,1931,1702,0.0,0.0,0
54.17096,-110.88218,1658,1902,352.43,28.72,1
46.48632,-81.03443,1901,819,299.04,1.14,1
60.44915,-111.87127,913,1021,347.06,8.0,1
45.52675,-62.92736,197,1712,0.0,0.0,0
49.96384,-98.19273,579,946,0.0,0.0,0
59.5264,-110.29975,487,1821,0.0,0.0,0
50.44954,-97.79518,1675,1842,345.28,10.99,1
54.35018,-85.01245,1186,1954,0.0,0.0,0
58.61284,-106.69512,1186,1955,0.0,0.0,0
51.82212,-98.91212,426,2042,367.0,32.64,1
46.69172,-83.64688,821,1853,0.0,0.0,0
46.10721,-72.53756,1231,741,0.0,0.0,0
59.74056,-109.24879,487,1008,320.67,1.94,1
56.3966,-116.34108,1840,2032,0.0,0.0,0
46.59081,-83.88593,1491,806,0.0,0.0,0
49.96648,-103.10599,1856,903,0.0,0.0,0
46.52376,-84.37228,91,714,307.27,1.91,1
45.84741,-75.20236,835,1750,0.0,0.0,0
61.47581,-136.98073,1979,2210,367.0,163.13,1
50.47493,-97.13754,167,1817,337.95,17.48,1
66.0962,-129.90494,395,1841,0.0,0.0,0
58.34826,-107.17295,1658,1901,0.0,0.0,0
53.75818,-103.19763,532,1915,0.0,0.0,0
50.45918,-99.08363,883,1933,333.03,3.54,1
52.73606,-87.22457,1887,1729,367.0,11.79,1
46.51669,-84.39617,501,728,339.43,4.77,1
50.41994,-121.42885,1583,2049,367.0,149.05,1
50.02916,-120.66961,730,915,326.75,1.65,1
54.17161,-122.95049,1262,939,0.0,0.0,0
55.90993,-118.71755,730,913,0.0,0.0,0
54.7684,-117.84207,1262,1119,0.0,0.0,0
46.57637,-80.79608,1826,643,337.29,12.47,1
50.5178,-104.63065,1109,910,305.92,0.93,1
53.24032,-116.59953,897,1024,301.39,1.12,1
57.92637,-74.12201,744,811,0.0,0.0,0
53.47176,-112.22253,470,1029,0.0,0.0,0
56.30645,-129.12579,562,1004,317.87,3.45,1
55.15692,-96.26208,1597,1803,0.0,0.0,0
53.08862,-114.76639,365,1946,329.24,4.4,1
45.83705,-73.24873,1309,637,303.68,0.95,1
58.35617,-116.61189,105,1923,0.0,0.0,0
61.71548,-111.72995,91,852,0.0,0.0,0
56.76466,-119.396,487,1818,0.0,0.0,0
53.91895,-113.56794,30,938,0.0,0.0,0
56.73302,-112.35424,548,2057,0.0,0.0,0
56.14733,-120.6654,153,1112,307.84,1.3,1
49.96064,-99.54845,532,1914,332.72,3.02,1
54.15854,-108.28191,1231,921,331.56,3.45,1
54.69471,-103.52917,593,1832,0.0,0.0,0
45.0973,-76.76075,1675,714,0.0,0.0,0
45.50642,-72.95889,760,1756,0.0,0.0,0
49.2185,-115.81295,1309,959,334.46,10.92,1
49.15837,-123.00714,1614,1120,301.61,1.03,1
58.10123,-117.591,1870,1931,0.0,0.0,0
43.42246,-80.40878,0,1846,0.0,0.0,0
53.43817,-98.36246,821,1858,0.0,0.0,0
65.75285,-92.74944,2009,1741,0.0,0.0,0
50.25324,-100.81226,1248,2031,0.0,0.0,0
53.98639,-118.20391,197,1048,0.0,0.0,0
51.11175,-103.83577,487,830,0.0,0.0,0
56.77288,-116.39499,730,2044,0.0,0.0,0
55.79811,-122.03755,1887,921,0.0,0.0,0
62.53328,-139.72118,440,2124,345.1,15.12,1
52.26733,-90.22121,470,1836,0.0,0.0,0
52.38285,-113.5323,927,1101,303.98,1.39,1
58.75935,-65.54875,791,1008,0.0,0.0,0
51.23288,-98.52947,1856,902,0.0,0.0,0
61.04971,-96.40228,14,1746,0.0,0.0,0
57.00511,-111.47444,1931,1847,367.0,9.3,1
44.38686,-77.57703,1217,704,0.0,0.0,0
49.41429,-95.79855,426,1900,0.0,0.0,0
54.73454,-105.90478,0,721,0.0,0.0,0
72.8489,-120.93413,1248,2031,0.0,0.0,0
51.10205,-126.28143,944,2212,0.0,0.0,0
55.19772,-70.79848,1552,1849,0.0,0.0,0
50.7173,-97.81435,167,1817,0.0,0.0,0
64.37576,-120.38081,1962,2048,367.0,163.55,1
43.27275,-79.79829,1675,715,336.86,2.04,1
60.10093,-129.55526,1262,1119,0.0,0.0,0
49.83714,-98.33652,1962,1903,341.36,6.24,1
53.26513,-109.94633,153,932,301.24,0.73,1
48.59529,-74.8673,897,1024,0.0,0.0,0
44.84326,-75.41588,1248,1707,327.88,4.86,1
55.22649,-105.64189,61,1801,0.0,0.0,0
46.65506,-67.62623,44,1640,0.0,0.0,0
49.85823,-124.50098,1948,1020,0.0,0.0,0
62.0993,-130.70119,821,2040,0.0,0.0,0
45.41835,-72.96229,1840,721,0.0,0.0,0
55.7983,-120.93717,1109,1900,333.58,8.14,1
46.92157,-80.57503,1505,1828,0.0,0.0,0
70.34226,-76.96653,365,1946,0.0,0.0,0
78.07552,-85.20948,1658,1901,0.0,0.0,0
56.15107,-118.95579,730,913,0.0,0.0,0
76.36993,-93.04902,1870,1745,0.0,0.0,0
57.80675,-113.3878,456,1941,367.0,43.56,1
51.62614,-98.59097,1614,1927,0.0,0.0,0
52.86208,-107.13031,1109,2039,339.71,17.55,1
64.43227,-112.92063,183,1815,0.0,0.0,0
56.55601,-119.53407,228,1105,331.61,5.73,1
62.10317,-112.6038,1217,1829,0.0,0.0,0
59.43396,-112.99245,1292,834,367.0,32.4,1
60.08952,-111.08238,91,852,297.62,1.78,1
46.12848,-72.58225,866,1629,0.0,0.0,0
55.45296,-113.75,1461,1047,295.54,0.91,1
54.37023,-109.76031,2054,2022,338.05,58.46,1
64.12549,-136.71217,821,2041,0.0,0.0,0
49.96771,-104.91631,562,1952,0.0,0.0,0
44.1615,-65.73607,1156,1732,0.0,0.0,0
46.71735,-71.80564,228,605,0.0,0.0,0
79.78519,-86.4616,197,1712,0.0,0.0,0
55.8403,-118.62294,30,1928,339.89,8.49,1
45.8398,-73.2496,730,553,295.48,0.98,1
42.53995,-79.92748,1461,1853,0.0,0.0,0
49.35227,-102.7257,1461,908,300.84,0.73,1
49.58694,-99.30682,562,1952,331.72,4.78,1
54.0727,-112.03207,214,2018,351.89,8.99,1
45.8816,-80.23043,183,1815,0.0,0.0,0
61.19883,-135.38127,2040,1948,0.0,0.0,0
54.12433,-113.7969,532,1916,0.0,0.0,0
