latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
51.78899,-115.31707,2022-07-01,907,0.0,0.0,0
49.41406,-94.38467,2020-07-01,1437,0.0,0.0,0
56.69114,-122.16214,2024-04-01,907,302.06,0.53,1
55.04336,-126.74469,2024-11-15,931,0.0,0.0,0
82.09869,-63.70414,2020-10-01,1001,325.36,0.06,1
50.23443,-111.3247,2020-05-15,2004,0.0,0.0,0
53.96401,-114.58899,2022-09-15,2013,332.65,13.45,1
44.56164,-79.75982,2020-10-01,1815,329.13,1.71,1
61.86147,-120.6161,2024-07-01,1853,355.52,10.17,1
56.14499,-119.65868,2024-10-15,912,304.67,0.62,1
43.96641,-80.61672,2020-04-01,1706,0.0,0.0,0
55.86128,-119.49674,2020-05-15,2006,352.18,9.26,1
51.0844,-104.00778,2022-10-01,2012,0.0,0.0,0
61.67087,-140.18869,2020-09-15,1634,0.0,0.0,0
43.79369,-80.65378,2025-10-01,1741,0.0,0.0,0
62.74836,-124.89517,2023-07-15,1855,350.15,6.59,1
52.47387,-121.09057,2022-11-01,2031,367.0,86.88,1
50.19686,-99.28425,2022-09-01,1933,0.0,0.0,0
66.2134,-98.65755,2022-11-01,1850,0.0,0.0,0
56.27881,-99.32529,2023-06-15,1955,0.0,0.0,0
74.42151,-87.53636,2025-04-15,2030,0.0,0.0,0
51.98166,-125.32371,2025-06-15,2129,0.0,0.0,0
58.56767,-106.09306,2023-07-01,1955,0.0,0.0,0
54.30056,-91.2197,2024-08-01,1728,367.0,19.18,1
48.47342,-76.869,2023-06-01,1914,333.83,93.85,1
51.3529,-116.96135,2020-10-15,2036,329.45,9.13,1
49.09585,-66.36792,2020-10-15,1048,0.0,0.0,0
45.94287,-71.62747,2023-09-01,1707,0.0,0.0,0
46.41676,-71.31608,2021-05-15,1737,339.84,3.34,1
55.90599,-121.23323,2022-05-15,2019,0.0,0.0,0
52.15686,-104.5422,2020-11-01,1837,340.79,5.29,1
50.28706,-99.53261,2020-08-15,811,0.0,0.0,0
56.5459,-99.67155,2023-06-15,1955,355.97,16.4,1
50.50336,-57.33489,2021-09-15,1914,0.0,0.0,0
48.27174,-81.37266,2022-11-01,1848,0.0,0.0,0
49.24104,-96.76868,2021-07-01,1938,334.93,10.43,1
50.33598,-120.90675,2025-09-01,858,296.58,0.87,1
53.50298,-101.06552,2023-10-15,2006,0.0,0.0,0
57.55491,-116.07613,2024-05-15,841,0.0,0.0,0
63.82088,-134.96876,2024-05-15,1021,0.0,0.0,0
65.94135,-138.25411,2021-08-01,2144,0.0,0.0,0
46.13521,-65.70279,2020-08-15,1756,0.0,0.0,0
53.40241,-101.42494,2023-10-15,2006,0.0,0.0,0
47.72626,-82.41607,2023-06-01,1914,342.45,6.68,1
53.81124,-117.12365,2020-09-01,1112,296.27,0.37,1
47.02914,-65.02671,2020-11-01,707,336.48,4.25,1
48.54832,-79.68846,2022-11-01,1848,0.0,0.0,0
53.35953,-126.00546,2024-10-15,2224,0.0,0.0,0
62.51717,-108.82181,2020-04-01,1846,0.0,0.0,0
46.75571,-71.20099,2021-04-15,1659,336.79,2.93,1
61.03939,-70.85683,2020-07-15,1741,0.0,0.0,0
55.72923,-118.99681,2025-07-15,1037,303.46,0.88,1
51.16644,-99.50534,2022-11-01,1850,332.46,5.78,1
45.46805,-75.19176,2022-04-15,811,310.58,0.13,1
50.45918,-99.08363,2022-09-01,1933,333.03,3.54,1
58.32513,-127.63794,2024-05-15,1828,0.0,0.0,0
51.38771,-96.94892,2020-06-01,1945,342.83,14.7,1
50.90065,-120.15329,2025-05-01,2031,0.0,0.0,0
52.56587,-106.67622,2024-06-15,900,0.0,0.0,0
