latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
45.89524,-67.12587,2025-05-15,1745,0.0,0.0,0
51.06868,-115.13524,2020-05-01,939,305.78,0.97,1
52.10812,-108.03001,2020-09-01,2102,0.0,0.0,0
49.4537,-99.85666,2023-06-15,1812,0.0,0.0,0
55.66001,-108.07619,2024-08-01,919,0.0,0.0,0
46.04507,-73.14079,2022-06-15,1712,326.54,1.48,1
64.34132,-133.56479,2022-06-01,2143,367.0,20.2,1
53.26251,-109.94553,2022-06-01,828,296.38,1.27,1
52.85949,-108.14673,2022-11-01,1851,349.23,12.57,1
50.0577,-110.73022,2022-05-15,1029,308.21,1.54,1
53.40502,-106.78251,2020-08-01,2043,344.32,4.12,1
45.11368,-73.01239,2025-05-01,722,297.26,1.05,1
53.18301,-122.52464,2020-10-15,1048,309.97,1.78,1
43.54186,-79.27788,2022-10-15,1725,0.0,0.0,0
43.66573,-79.16434,2023-10-01,619,0.0,0.0,0
50.99658,-102.58447,2025-08-01,838,304.27,1.35,1
80.94202,-74.28753,2020-09-15,1634,0.0,0.0,0
46.99336,-80.37392,2020-08-15,630,0.0,0.0,0
42.80703,-80.09687,2023-09-15,1744,353.37,8.92,1
62.1398,-112.58439,2025-09-15,1113,306.15,3.28,1
44.05275,-77.12045,2020-09-15,650,297.61,1.18,1
46.20827,-66.21419,2021-04-15,1658,0.0,0.0,0
60.19839,-126.76203,2023-06-01,2100,0.0,0.0,0
50.80737,-105.42503,2023-06-01,747,0.0,0.0,0
54.1814,-113.30442,2023-09-15,939,0.0,0.0,0
80.10205,-91.2545,2022-05-15,1833,0.0,0.0,0
50.84704,-79.85793,2023-07-15,901,367.0,19.52,1
44.48858,-80.65171,2023-04-15,1715,335.65,3.45,1
51.39941,-99.26202,2020-05-01,757,307.62,1.42,1
54.51329,-104.12774,2023-06-15,1954,0.0,0.0,0
57.47543,-110.96547,2025-04-01,1003,0.0,0.0,0
68.92795,-130.75808,2025-07-01,1808,0.0,0.0,0
52.10766,-105.30791,2020-06-01,1945,335.31,2.41,1
51.89052,-102.59712,2023-11-15,2024,0.0,0.0,0
51.03395,-100.71764,2020-04-15,1926,342.51,12.08,1
52.98215,-108.48631,2025-10-15,1013,0.0,0.0,0
46.33035,-73.67182,2024-10-01,655,0.0,0.0,0
55.07118,-110.53201,2020-08-01,913,300.45,1.15,1
50.48128,-96.27603,2022-06-15,726,0.0,0.0,0
61.81868,-120.93974,2025-09-01,1035,367.0,5.01,1
59.63025,-110.08908,2022-09-15,2014,0.0,0.0,0
47.11248,-84.20079,2020-06-01,817,0.0,0.0,0
63.4803,-126.00778,2024-04-15,1750,0.0,0.0,0
63.69104,-136.91805,2022-07-01,2041,367.0,133.77,1
46.51682,-84.39349,2024-05-01,806,314.57,2.58,1
58.25744,-73.74262,2022-09-15,1024,0.0,0.0,0
46.04375,-73.14219,2020-04-01,720,311.25,2.15,1
43.50054,-79.09032,2025-07-15,1842,0.0,0.0,0
49.43096,-104.72003,2021-08-15,908,0.0,0.0,0
52.45803,-101.57012,2022-07-15,1933,0.0,0.0,0
54.21507,-107.65118,2025-07-15,856,0.0,0.0,0
53.853,-108.35101,2020-06-15,854,0.0,0.0,0
53.69685,-122.36716,2021-10-01,1917,356.5,48.35,1
50.77525,-100.56927,2023-09-01,2031,0.0,0.0,0
57.81359,-116.74483,2020-07-15,1923,367.0,11.73,1
55.11017,-114.74822,2020-07-15,1737,0.0,0.0,0
53.90734,-69.54864,2022-07-15,1750,0.0,0.0,0
53.16223,-121.32178,2020-04-01,721,0.0,0.0,0
50.51632,-104.63271,2020-09-15,830,304.33,0.88,1
56.56189,-120.63377,2024-10-15,2043,0.0,0.0,0
50.11464,-125.67989,2020-04-01,2030,331.42,4.77,1
47.08727,-78.27507,2020-05-01,1744,0.0,0.0,0
49.89489,-96.62184,2021-10-01,927,0.0,0.0,0
42.74937,-79.46696,2024-11-01,715,0.0,0.0,0
49.0875,-74.12758,2023-06-15,1631,0.0,0.0,0
46.40096,-64.05993,2020-10-15,1712,0.0,0.0,0
51.38723,-96.95531,2020-06-01,1945,341.32,14.7,1
49.54064,-125.71511,2025-11-01,2124,0.0,0.0,0
52.25627,-102.36501,2021-10-15,1813,0.0,0.0,0
51.69942,-108.28049,2021-04-15,1843,0.0,0.0,0
50.15902,-108.88106,2020-07-01,1035,0.0,0.0,0
45.66346,-65.39867,2020-11-15,605,0.0,0.0,0
54.15828,-108.28468,2024-08-15,1947,336.74,4.99,1
49.73499,-101.21033,2021-09-01,849,297.39,0.22,1
46.35335,-70.93531,2021-05-01,1659,0.0,0.0,0
